owner,repo,full_name,html_url,stargazers_count,forks_count,open_issues_count,language,created_at,pushed_at,default_branch,total_prs,review_probe_pr,review_probe_state,review_probe_human_reviewer
facebook,react,facebook/react,https://github.com/facebook/react,244763,51002,1260,JavaScript,2013-05-24T16:15:54Z,2026-04-29T20:18:39Z,main,19277,35777,COMMENTED,bgirard
TheAlgorithms,Python,TheAlgorithms/Python,https://github.com/TheAlgorithms/Python,220392,50457,940,Python,2016-07-16T09:44:01Z,2026-04-13T22:10:46Z,master,12072,14609,APPROVED,mindaugl
trimstray,the-book-of-secret-knowledge,trimstray/the-book-of-secret-knowledge,https://github.com/trimstray/the-book-of-secret-knowledge,217928,13093,138,,2018-06-23T10:43:14Z,2024-11-19T14:00:38Z,master,367,552,APPROVED,shayanfareed001
trekhleb,javascript-algorithms,trekhleb/javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,195895,31087,403,JavaScript,2018-03-24T07:47:04Z,2026-02-18T09:20:06Z,master,829,2120,APPROVED,lisagorewitdecker
ohmyzsh,ohmyzsh,ohmyzsh/ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,186597,26359,547,Shell,2009-08-28T18:15:37Z,2026-04-28T07:41:11Z,master,7950,12972,CHANGES_REQUESTED,carlosala
getify,You-Dont-Know-JS,getify/You-Dont-Know-JS,https://github.com/getify/You-Dont-Know-JS,184444,33581,2,,2013-11-16T02:37:24Z,2026-02-15T04:36:44Z,2nd-ed,881,1020,COMMENTED,Ivan-Perez
microsoft,vscode,microsoft/vscode,https://github.com/microsoft/vscode,184382,39549,16839,TypeScript,2015-09-03T20:23:38Z,2026-04-29T23:10:35Z,main,55131,313244,APPROVED,pwang347
Significant-Gravitas,AutoGPT,Significant-Gravitas/AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,183880,46235,393,Python,2023-03-16T09:21:07Z,2026-04-29T22:56:20Z,master,7851,12933,COMMENTED,majdyz
flutter,flutter,flutter/flutter,https://github.com/flutter/flutter,176139,30292,12572,Dart,2015-03-06T22:54:58Z,2026-04-29T22:17:17Z,master,70995,185787,APPROVED,fluttergithubbot
github,gitignore,github/gitignore,https://github.com/github/gitignore,173627,82589,69,,2010-11-08T20:17:14Z,2026-04-27T16:16:10Z,main,4656,4856,COMMENTED,shivaCode-2
obra,superpowers,obra/superpowers,https://github.com/obra/superpowers,173048,15260,278,Shell,2025-10-09T19:45:18Z,2026-04-28T23:56:47Z,main,675,1189,COMMENTED,afurm
avelino,awesome-go,avelino/awesome-go,https://github.com/avelino/awesome-go,171343,13176,182,Go,2014-07-06T13:42:15Z,2026-04-27T08:30:23Z,main,5237,6039,APPROVED,Jason-123-cyber
ollama,ollama,ollama/ollama,https://github.com/ollama/ollama,170336,15880,3106,Go,2023-06-26T19:39:32Z,2026-04-29T21:18:46Z,main,5422,15883,APPROVED,ParthSareen
affaan-m,everything-claude-code,affaan-m/everything-claude-code,https://github.com/affaan-m/everything-claude-code,170155,26362,189,JavaScript,2026-01-18T00:51:51Z,2026-04-29T23:10:37Z,main,1049,1608,COMMENTED,anupamme
AUTOMATIC1111,stable-diffusion-webui,AUTOMATIC1111/stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui,162661,30294,2482,Python,2022-08-22T14:05:26Z,2026-03-02T07:00:53Z,master,3325,16737,COMMENTED,mcmonkey4eva
f,prompts.chat,f/prompts.chat,https://github.com/f/prompts.chat,161155,21047,45,HTML,2022-12-05T13:54:13Z,2026-04-29T04:17:20Z,main,870,1167,APPROVED,andrzejsydor
jlevy,the-art-of-command-line,jlevy/the-art-of-command-line,https://github.com/jlevy/the-art-of-command-line,160810,14804,254,,2015-05-20T15:11:03Z,2024-06-25T18:13:44Z,master,599,613,APPROVED,alebas1
huggingface,transformers,huggingface/transformers,https://github.com/huggingface/transformers,160087,33054,2334,Python,2018-10-29T13:56:00Z,2026-04-29T17:16:57Z,main,26143,45661,COMMENTED,ArthurZucker
yt-dlp,yt-dlp,yt-dlp/yt-dlp,https://github.com/yt-dlp/yt-dlp,159627,13229,2500,Python,2020-10-26T04:22:55Z,2026-04-19T21:37:26Z,master,4767,16543,COMMENTED,dirkf
airbnb,javascript,airbnb/javascript,https://github.com/airbnb/javascript,148120,26705,159,JavaScript,2012-11-01T23:13:50Z,2026-04-16T19:24:09Z,master,1683,165,COMMENTED,shi980604
langflow-ai,langflow,langflow-ai/langflow,https://github.com/langflow-ai/langflow,147512,8873,946,Python,2023-02-08T22:28:03Z,2026-04-29T22:43:12Z,main,8922,12903,APPROVED,erichare
