repo,stars,age_days,age_years,merged_prs,releases,days_since_update,language,closed_issues,total_issues,closed_issue_ratio
521xueweihan/HelloGitHub,145429,3596,9.85,17,63,9,Python,2681,2967,0.9036
langflow-ai/langflow,145418,1124,3.08,5807,285,0,Python,2825,3172,0.8906
ytdl-org/youtube-dl,139835,5608,15.35,1646,341,18,Python,23190,26819,0.8647
vercel/next.js,138265,3441,9.42,26172,1000,0,JavaScript,22270,24318,0.9158
yangshun/tech-interview-handbook,138051,3534,9.68,486,0,42,TypeScript,77,121,0.6364
Genymobile/scrcpy,136714,3030,8.3,123,50,11,C,3287,5962,0.5513
golang/go,133019,4220,11.55,1,0,0,Go,61020,70458,0.866
langgenius/dify,131772,1062,2.91,9766,158,0,TypeScript,16395,16781,0.977
microsoft/PowerToys,130347,2504,6.86,6366,127,0,C#,30197,38302,0.7884
langchain-ai/langchain,128821,1239,3.39,16069,1000,0,Python,8879,9128,0.9727
Chalarangelo/30-seconds-of-code,127007,3022,8.27,836,12,4,JavaScript,300,300,1.0
open-webui/open-webui,126404,884,2.42,3367,154,0,Python,7684,7837,0.9805
facebook/react-native,125532,4077,11.16,959,445,0,C++,26831,27582,0.9728
krahets/hello-algo,122878,1221,3.34,968,10,45,Java,274,282,0.9716
kubernetes/kubernetes,121058,4293,11.75,64041,784,0,Go,46809,48647,0.9622
electron/electron,120393,4714,12.91,24591,1000,0,C++,20747,21482,0.9658
