pair_id,repository,owner,repo,scenario_id,scenario_name,run_number,rest_elapsed_ms,graphql_elapsed_ms,delta_elapsed_ms,delta_elapsed_pct,rest_response_bytes,graphql_response_bytes,delta_response_bytes,delta_response_pct,rest_request_count,graphql_request_count
meta-llama/llama:C3:run006,meta-llama/llama,meta-llama,llama,C3,recent_issues,6,757.432,519.272,-238.160,-31.443,43805,2350,-41455,-94.635,1,1
meta-llama/llama:C3:run007,meta-llama/llama,meta-llama,llama,C3,recent_issues,7,728.094,547.615,-180.479,-24.788,43805,2350,-41455,-94.635,1,1
meta-llama/llama:C3:run008,meta-llama/llama,meta-llama,llama,C3,recent_issues,8,723.773,474.783,-248.990,-34.402,43805,2350,-41455,-94.635,1,1
meta-llama/llama:C3:run009,meta-llama/llama,meta-llama,llama,C3,recent_issues,9,743.385,423.069,-320.316,-43.089,43805,2350,-41455,-94.635,1,1
meta-llama/llama:C3:run010,meta-llama/llama,meta-llama,llama,C3,recent_issues,10,663.197,580.856,-82.341,-12.416,43805,2350,-41455,-94.635,1,1
meta-llama/llama:C3:run011,meta-llama/llama,meta-llama,llama,C3,recent_issues,11,758.407,555.189,-203.218,-26.795,43805,2350,-41455,-94.635,1,1
meta-llama/llama:C3:run012,meta-llama/llama,meta-llama,llama,C3,recent_issues,12,1054.587,511.172,-543.415,-51.529,43805,2350,-41455,-94.635,1,1
meta-llama/llama:C3:run013,meta-llama/llama,meta-llama,llama,C3,recent_issues,13,570.776,570.429,-0.347,-0.061,43805,2350,-41455,-94.635,1,1
meta-llama/llama:C3:run014,meta-llama/llama,meta-llama,llama,C3,recent_issues,14,744.504,620.971,-123.533,-16.593,43805,2350,-41455,-94.635,1,1
meta-llama/llama:C3:run015,meta-llama/llama,meta-llama,llama,C3,recent_issues,15,705.730,530.032,-175.698,-24.896,43805,2350,-41455,-94.635,1,1
meta-llama/llama:C3:run016,meta-llama/llama,meta-llama,llama,C3,recent_issues,16,843.630,497.355,-346.275,-41.046,43805,2350,-41455,-94.635,1,1
